アイコンエディタ,icon editor,,
アイコンキャラクタ,icon character,,
アイコンタクト,eye contact,,
アイコンプ,iCOMP,,
アイコンボタン,icon button,,
アイゴ,mottled spinefoot,dusky rabbitfish,sandy spinefoot
アイゴー,argh,sigh,
アイサ,merganser,,
アイサイト,eyesight,,
アイサピ,ISAPI,,
アイサム,ISAM,,
アイザメ,any shark of genus Centrophorus,,
アイシェード,eyeshade,,
アイシクル,icicle,,
アイシャドウ,eyeshadow,,
アイシャドー,eyeshadow,,
アイシュ,ish,,
アイシル,ISIL,Islamic State of Iraq and the Levant,
アイシング,icing,frosting,cryotherapy
アイシングザパック,icing the puck,,
アイシングラス,isinglass,gelatin made from swim bladders of fish,
アイシー,icy,,
アイシー,integrated circuit,IC,interchange
アイシーエムピー,ICMP,,
アイシーカード,IC card,smart card,
アイシーキュー,ICQ,,
アイシータグ,IC tag,,
アイシービーエム,intercontinental ballistic missile,ICBM,
アイシールド,eye shield,eyeshield,
アイシーレコーダー,digital voice recorder,field recorder,
アイジングラス,isinglass,gelatin made from swim bladders of fish,
アイス,ice,ice cream,icecream
アイスアリーナ,ice arena,,
アイスキャンディ,ice pop,icy pole,popsicle
アイスキャンディー,ice pop,icy pole,popsicle
アイスキャンデー,ice pop,icy pole,popsicle
アイスキューブ,ice cube,,
アイスクライミング,ice climbing,,
アイスクリン,old fashioned-style ice cream,,
アイスクリーム,ice cream,icecream,
アイスクリームコーン,ice cream cone,,
アイスクリームサンデー,ice cream sundae,icecream sundae,
アイスクリームソーダ,ice cream soda,icecream soda,
アイスコンデンサ,ice condenser,,
アイスコーヒー,iced coffee,,
アイスショー,ice show,,
アイスジャイアント,ice giant,,
アイススケート,ice skating,,
アイススプリンタ,ice splinters,,
アイススマック,chocolate-coated ice cream on a stick,,
アイススレッジホッケー,ice sledge hockey,sledge hockey,sled hockey
アイスズメダイ,Australian gregory,,
アイスダイビング,ice diving,,
アイスダンス,ice dancing,,
アイスティ,iced tea,ice tea,
アイスティー,iced tea,ice tea,
アイステズボド,eisteddfod,,
アイストング,ice tongs,,
アイスハーケン,ice piton,ice screw,
アイスバイン,eisbein,German dish of pickled ham hock,
アイスバケット,ice bucket,,
アイスバックス,icebox,,
アイスバー,ice pop,icy pole,popsicle
アイスバーグ,iceberg,,
アイスバーン,icy road,frozen snow surface,skating rink
アイスパック,ice bag,ice pack,pack ice
アイスピック,ice pick,,
アイスフォール,icefall,,
アイスブリッジ,ice bridge,,
アイスブレイカー,icebreaker,,
アイスブレーカー,icebreaker,,
アイスプディング,ice pudding,,
アイスプラント,ice plant,,
アイスペール,ice pail,,
アイスホッケー,ice hockey,,
アイスボックス,icebox,,
アイスポッテッドパファー,Tetraodon leiurus,,
アイスポットクテノポマ,eyespot ctenopoma,,
アイスポットシクリッド,eye-spot cichlid,peacock bass,
アイスミルク,ice milk,iced milk,
アイスヨット,ice yacht,,
アイスランド,Iceland,,
アイスランド,Iceland,,
アイスランドガイ,ocean quahog,,
アイスランドキャットシャーク,Iceland catshark,,
アイスランドポピー,Iceland poppy,Icelandic poppy,
アイスリンク,ice rink,skating rink,
アイズ,eyes,,
アイゼン,metal pins of climbing shoes,crampons,climbing irons
アイソキネティックス,isokinetics,,
アイソクロナルテスト,isochronal test,,
アイソザイム,isozyme,isoenzyme,
アイソスタシー,isostasy,,
アイソスピン,isospin,,
アイソセンタ,isocentre,,
アイソタイプ,isotype,,
アイソタクチックポリオレフィン,isotactic polyolefin,,
アイソタクチックポリプロピレン,isotactic polypropylene,,
アイソトニック,isotonic,,
アイソトニックス,isotonics,,
アイソトロン,isotron,,
アイソトープ,isotope,,
アイソバリックスピン,isobaric spin,,
アイソパイア,isopyre,,
アイソパラメトリック,isoparametric,,
アイソパルスシステム,isopulse system,,
アイソメトリック,isometric,,
アイソメトリックエクササイズ,isometric exercise,,
アイソメトリックス,isometrics,,
アイソレイト,isolate,,
アイソレーション,isolation,,
アイソレーションシンドローム,isolation syndrome,,
アイソレータ,isolator,,
アイソレーター,isolator,,
アイゾメシバフタケ,Psilocybe subcaerulipes,,
アイタケ,green-cracking russula,quilted green russula,green brittlegill
アイタッ,Ouch!,,
アイタデ,dyer's knotweed,,
アイタム,item,something that one "just has to have",
アイターン,moving to the countryside,,
アイダイアグラム,eye diagram,,
アイティー,information technology,IT,
アイティーエフ,ITF,,
アイティーシー,International Trade Commission,ITC,Independent Television Commission
アイティーユー,ITU,,
アイティーユーティー,ITU-T,,
アイティーユーティーエス,ITU-TS,,
アイテニアム,Itanium,,
アイテム,item,something that one "just has to have",
アイデア,idea,,
アイデアプロセッサ,idea processor,,
アイデアマン,idea man,ideas man,person of ideas
アイデアライズ,idealize,,
アイデアラッシュ,brainstorming,,
アイデアリズム,idealism,,
アイデアル,ideal,,
アイディア,idea,,
アイディアマン,idea man,ideas man,person of ideas
アイディアリスト,idealist,,
アイディアリズム,idealism,,
アイディアル,ideal,,
アイディリスト,idealist,,
アイディル,idyll,,
アイディー,identification,ID,identity
アイディーイー,IDE,,
アイディーイーエー,IDEA,,
アイディーエル,IDL,,
アイディーカード,ID card,identification card,
アイディーシー,IDC,,
アイデンティカル,identical,,
アイデンティティ,identity,,
アイデンティティクライシス,identity crisis,,
アイデンティティー,identity,,
アイデンティティーカード,identity card,,
アイデンティティークライシス,identity crisis,,
アイデンティファイ,identify,,
アイデンティフィケーション,identification,,
アイデンティフィケーションカード,identification card,,
アイデンティフケイション,identification,,
アイデンテティ,identity,,
アイデンテファイ,identify,,
アイデンテフィケイション,identification,,
アイドゥリ,idly,,
アイドゥル,young star,young entertainer,heartthrob
アイドゥルネス,idleness,,
アイドリ,idly,,
アイドリング,idling,,
アイドリングストップ,turning off a vehicle engine when stopped,,
アイドル,young star,young entertainer,heartthrob
アイドルインタラプト,idle interrupt,,
アイドルオタ,,,
アイドルオタク,,,
アイドルキャピタル,idle capital,,
アイドルギア,idle gear,intermediate gear,
アイドルギヤ,idle gear,intermediate gear,
アイドルコスト,idle cost,,
アイドルコラージュ,altered photograph, usu. with sexual connotations, such as putting someone's face on top of a picture of a nude idol, etc.,,
アイドルシステム,idle system,,
アイドルタイム,idle time,,
アイドルネス,idleness,,
アイドルビット,idle bit,,
アイドルフラグ,idle flag,,
アイドルマネー,idle money,,
アイドルヲタ,,,
アイドルヲタク,,,
アイナ,isonicotinic acid hydrazide,INAH,
アイナメ,fat greenling,,
アイヌ,Ainu,,
アイヌネギ,Alpine leek,,
アイヌラックル,Okikurumi,mythical founder god of the Ainu,
アイネット,INET,,
アイノード,i-node,,
アイバンク,eye bank,,
アイパック,iPaq,eye pack,
アイパッチドバタフライフィッシュ,Philippine butterflyfish,panda butterflyfish,
アイビ,ivy,Ivy League,
アイビス,ibis,,
アイビー,ivy,Ivy League,
アイビーエム,IBM,International Business Machines,
アイビーシャツ,ivy shirt,,
アイビースタイル,ivy style,,
アイビーゼラニウム,ivy geranium,ivy-leaved geranium,
アイビーム,i-beam,,
アイビームポインタ,I-beam pointer,,
アイビーリーグ,Ivy League,,
アイビールック,Ivy league look,Ivy League style,
アイピロー,eye pillow,,
アイピー,Internet Protocol,IP,
アイピーアドレス,Internet Protocol address,IP address,
アイピーエックスエスピーエックス,IPX-SPX,,
アイピーブイシックス,IPv6,,
アイフ,AIFF,,
アイフック,eye hook,eyehook,
アイブラウ,eyebrow,,
アイブリ,blackbanded trevally,blackbanded amberjack,
アイブロウ,eyebrow,,
アイブロー,eyebrow,,
アイブローシェープ,eyebrow shape,,
アイブローペンシル,eyebrow pencil,,
アイベックス,ibex,,
アイホ,ice hockey,,
アイボリ,ivory,,
アイボリー,ivory,,
アイボリーブラック,ivory black,,
アイボリーホワイト,ivory-white,,
アイボルト,eye bolt,eyebolt,
アイマスク,eye mask,,
アイマックス,IMAX,,
アイマップ,IMAP,,
アイムソーリーヒゲソーリー,I'm sorry,,
アイメイク,eye makeup,,
アイメイト,seeing-eye dog,guide dog,
アイメート,seeing-eye dog,guide dog,
アイモードサービス,i-mode service,,
アイヨンハチロク,i486,,
アイライナー,eye liner,eyeliner,
アイライン,eyeliner,,
アイラグ,kumis,fermented mare's milk,
アイラッシュ,eyelash,,
アイラッシュカーラー,eyelash curler,,
アイラブユー,I love you,,
アイランド,island,,
アイランドキッチン,kitchen island,kitchen with a kitchen island,
アイランドグレゴリー,island gregory,,
アイランドホッグフィッシュ,island hogfish,,
アイリス,iris,,
アイリスアウト,iris-out,,
アイリスイン,iris-in,,
アイリックス,IRIX,,
アイリッシュ,Irish,,
アイリッシュウイスキー,Irish whiskey,,
アイリッシュウルフハウンド,Irish wolfhound,,
アイリッシュコーヒー,Irish coffee,,
アイリッシュセッター,Irish setter,,
アイリッシュハープ,Irish harp,,
アイリフト,eyelift,,
アイリンク,i.LINK,,
アイル,aisle,,
アイルランド,Ireland,Eire,
アイレット,eyelet,,
アイレットワーク,eyelet work,,
アイレン,Airén,,
アイロニカル,ironical,ironic,
アイロニック,ironic,,
アイロニー,irony,,
アイロン,iron,hair iron,hair tong
アインスタイニウム,einsteinium,,
アイヴォリー,ivory,,
アウア,hour,,
アウアズ,ours,,
アウアセルブズ,ourselves,,
アウェア,aware,,
アウェイ,away,,
アウェイク,awake,,
アウェイクン,awaken,,
アウェイト,await,,
アウェー,away,,
アウェーゲーム,away game,,
アウェーゴール,away goals,,
アウエア,aware,,
アウエイ,away,,
アウエイク,awake,,
アウエイクン,awaken,,
アウエイト,await,,
アウエー,away,,
アウォード,award,,
アウケノグラニスオッキデンタリス,bubu,giraffe catfish,
アウスト,oust,,
アウストラロピテクス,Australopithecus,,
アウストロレビアスアドルフィー,killifish,,
アウタ,outer,outerwear,overgarment
アウタルキー,autarchy,,
アウター,outer,outerwear,overgarment
アウターウェア,outerwear,overgarment,coat
アウターウエア,outerwear,overgarment,coat
アウタースペース,outer space,,
アウターライズ,outerrise,outer rise,region seaward of a deep-sea trench
アウチ,ouch,,
アウティング,outing,,
アウテリア,exterior,,
アウテング,outing,,
アウト,out,outer,external
アウトゥサイド,outside,,
アウトゥドアズ,outdoors,,
アウトゥブレイク,outbreak,,
アウトゥライン,outline,,
アウトゥルック,outlook,,
アウトゥレット,outlet,electrical outlet,
アウトゥワァド,outward,,
アウトゥワッズ,outwards,,
アウトウエア,out wear,,
アウトオブデート,out-of-date,outdated,
アウトオブバウンズ,out of bounds,,
アウトオブファッション,out of fashion,,
アウトオブプレー,out of play,,
アウトカウント,number of batters already out,,
アウトカム,outcome,,
アウトカメラ,rear camera,,
アウトグループ,outgroup,,
アウトコース,outside track,outside pitch,
アウトコーナー,outside corner,,
アウトサイダー,outsider,,
アウトサイダーアート,outsider art,,
アウトサイド,outside,,
アウトサイドグリップ,outside grip,,
アウトサイドポケット,outside pocket,patch pocket,
アウトスウィング,outswing,,
アウトスタンディング,outstanding,,
アウトストラーダ,autostrada,,
アウトソーシング,out-sourcing,outsourcing,
アウトソース,outsourcing,,
アウトダイヤル,outdialing,,
アウトテイク,outtake,,
アウトドア,outdoor,al fresco,
アウトドアゲーム,outdoor game,,
アウトドアショップ,outdoor shop,,
アウトドアスポーツ,outdoor sports,,
アウトドアズ,outdoors,,
アウトドアライフ,outdoor life,,
アウトドアリビング,out-door living,,
アウトドアレジャー,outdoor leisure,,
アウトドアー,outdoor,al fresco,
アウトドライブ,outdrive,,
アウトバウンド,outbound,,
アウトバスト,outburst,,
アウトバック,outback,,
アウトバーン,autobahn,,
アウトフィット,outfit,,
アウトフィールダー,outfielder,,
アウトフィールド,outfield,,
アウトフォーカス,soft focus,out-of-focus technique,
アウトフロー,outflow,,
アウトブリーディング,outbreeding,,
アウトブリード,outbreeding,,
アウトブレイク,outbreak,,
アウトプット,output,,
アウトプットポート,output port,,
アウトプレースメント,outplacement,,
アウトボクシング,out boxing,,
アウトボックス,out-box,,
アウトポケット,outside pocket,patch pocket,
アウトライン,outline,,
アウトラインステッチ,outline stitch,,
アウトラインフォント,outline font,,
アウトラインプロセッサ,outline processor,,
アウトラインプロセッサー,outline processor,,
アウトラインユーティリティ,outline utility,,
アウトラインレベル,outline level,,
アウトリガ,outrigger,,
アウトリガー,outrigger,,
アウトリーチ,outreach,,
アウトルック,outlook,,
アウトレイジ,outrage,,
アウトレット,outlet,electrical outlet,
アウトレットストア,outlet store,,
アウトレットボックス,outlet box,,
アウトレットモール,outlet mall,,
アウトロ,outro,conclusion,
アウトロー,outlaw,low and away,
アウトワァド,outward,,
アウトワッズ,outwards,,
アウフタクト,upbeat,anacrusis,
アウフヘーベン,sublation,,
アウラ,aura,,
アウラプテン,auraptene,,
アウラル,eyrir,Icelandic monetary unit equal to 1/100 króna,
アウル,owl,,
アウロノカラエテルヴァイナエ,Chitande aulonocara,Northern Aulonocara,
アウロノカラスチュアートグランティ,flavescent peacock,,
アウロノカラハンスバエンシィ,Aulonocara Fort Maguire,firebird cichlid,
アウロノカラバエンシ,Nkhomo-benga peacock,new yellow regal,yellow peacock
アウロノカラフエセリ,night aulonocara,Aulonocara white top,
アウロノカラメイランディ,sulfurhead Aulonocara,,
アウロノカラヤコブフライベルギ,fairy cichlid,Malawi butterfly,
アウロノカラロストラートゥム,Aulonocara rostratum,,
アウロノクラヌスデウィンドティ,Aulonocranus dewindti,,
アウン,Om,Aun,syllable representing the primordial trinity of Vishnu, Shiva and Brahma
アエクィデンスサパイェンシス,Sapayo cichlid,,
アエクィデンステトラメルス,saddle cichlid,,
アエクィデンスディアデマ,Aequidens diadema,,
アエクィデンスパリドゥス,doublespot acara,,
アエクィデンスメタエ,yellow acara,,
アオアシシギ,greenshank,,
アオイ,mallow,Asarum caulescens,hollyhock
アオイガイ,eggcase,greater argonaut,
アオイソハゼ,prasites pygmy goby,hairfin pygmy goby,
アオウオ,black carp,,
アオウミウシ,Hypselodoris festiva,,
アオウミガメ,green turtle,,
アオカケス,blue jay,,
アオカビ,blue mold,blue mould,penicillium
アオカワラヒワ,European greenfinch,,
アオガラ,blue tit,,
アオガンピ,aoganpi,ganpi,
アオキ,Japanese laurel,spotted laurel,Aucuba japonica
アオギス,small-scale whiting,blue whiting,
アオギハゼ,blue-striped cave goby,blue-striped dwarfgoby,cave pygmy-goby
アオギリ,Chinese parasol-tree,Chinese-bottletree,Japanese varnishtree
アオゲイトウ,red-root amaranth,redroot pigweed,red-rooted pigweed
アオゲラ,Japanese green woodpecker,Japanese woodpecker,wavy-bellied woodpecker
アオコ,powderized green laver,blue-green algae,cyanobacteria
アオサ,sea lettuce,,
アオサギ,grey heron,gray heron,
アオザイ,ao dai,,
アオザメ,shortfin mako shark,,
アオシタトカゲ,bluetongued lizard,sleepy lizard,
アオジ,black-faced bunting,,
アオジタトカゲ,bluetongued lizard,sleepy lizard,
アオスズラン,Epipactis papillosa,,
アオタ,blue shark,,
アオタテジマチョウチョウウオ,bluestriped butterflyfish,,
アオダイショウ,Japanese rat snake,,
アオダモ,chinese flowering ash,fraxinus lanuginosa form. serrata,
アオチビキ,blue-gray snapper,green jobfish,
アオナギ,shark,,
アオノツガザクラ,Aleutian mountainheath,,
アオノメハタ,peacock grouper,,
アオハシコウ,Abdim's stork,white-bellied stork,
アオハダ,Ilex macropoda,,
アオハナホソオオトカゲ,canopy goanna,blue-nosed goanna,Nesbit River monitor
アオバスズメダイ,black-axil chromis,blackfin chromis,
アオバズク,brown hawk owl,,
アオバセセリ,blue-winged skipper butterfly,,
アオバト,white-bellied green pigeon,,
アオブダイ,Scarus ovifrons,,
アオホソオオトカゲ,blue-spotted tree monitor,,
アオミドロ,spirogyra,algae forming pond scum,
アオメエソ,Chlorophthalmus albatrossis,,
アオモリトドマツ,Maries' fir,,
アオヤガラ,bluespotted cornetfish,,
アオヤサイ,green crop,green vegetable,
アオリイカ,bigfin reef squid,oval squid,
アオリスト,aorist,,
アカ,account,,
アカアシイワシャコ,red-legged partridge,,
アカアシシギ,common redshank,,
アカアシチョウゲンボウ,Amur falcon,eastern red-footed falcon,
アカイエカ,common house mosquito,northern house mosquito,
アカイソハゼ,Eviota masudai,,
アカウオ,Pacific ocean perch,comb goby,Matsubara's red rockfish
アカウシアブ,Tabanus chrysurus,,
アカウソ,bullfinch,,
アカウミガメ,loggerhead turtle,,
アカウンタビリティ,accountability,,
アカウンタビリティー,accountability,,
アカウンティング,accounting,,
アカウンティングファイル,accounting file,,
アカウンティングマシン,accounting machine,,
アカウント,account,,
アカウントエイリアス,account alias,,
アカウントエグゼクティブ,account executive,,
アカウントサービス,online service which provides individual user accounts,,
アカウントドメイン,account domain,,
アカウントプランナー,account planner,,
アカウントポリシー,account policy,,
アカウントマネージャ,account manager,,
アカウントロックアウト,account lockout,,
アカエイ,red stingray,,
アカエビ,whiskered velvet shrimp,red rice prawn,
アカエリヒレアシシギ,red-necked phalarope,,
アカエリマキキツネザル,red ruffed lemur,,
アカオオカミ,dhole,red wolf,
アカオノスリ,red-tailed hawk,,
アカカザリフウチョウ,Raggiana bird-of-paradise,Count Raggi's bird-of-paradise,
アカカマス,red barracuda,,
アカカミアリ,tropical fire ant,,
アカカワイノシシ,red river hog,bush pig,
アカガイ,blood clam,ark shell,
アカガエル,any brown or reddish-brown frog,Japanese brown frog,brown frog
アカガシ,Japanese evergreen oak,,
アカガレイ,flathead flounder,,
アカギ,bishop wood,barked tree,red tree
アカギツネ,red fox,,
アカギンザメ,spookfish,,
アカククリ,dusky batfish,,
アカクビワラビー,red-necked wallaby,Bennett's wallaby,
アカクラゲ,northern sea nettle,,
アカグツ,starry handfish,,
アカグマ,brown bear,,
アカゲザル,rhesus monkey,rhesus macaque,
アカゲラ,great spotted woodpecker,,
アカコッコ,Izu thrush,,
アカサンゴ,red coral,,
アカザ,white gooseweed,fat hen,lamb's-quarters
アカザエビ,Japanese lobster,,
アカシア,acacia,,
アカシカ,red deer,,
アカシガタ,Camellia sasanqua 'Akasigata',,
アカシタビラメ,red tonguesole,,
アカシデ,loose-flowered hornbeam,akashide,
アカシヤ,acacia,,
アカシュモクザメ,scalloped hammerhead,bronze hammerhead shark,
アカショウビン,ruddy kingfisher,,
アカスグリ,redcurrant,red currant,
アカダニ,spider mite,,
アカツキハギ,Achilles tang,,
アカツツガムシ,scrub typhus mite,,
アカテガニ,red-clawed crab,,
アカデミシズム,academicism,,
アカデミシャン,academician,,
アカデミズム,academism,,
アカデミック,academic,,
アカデミックガウン,academic gown,,
アカデミックディスカウント,academic discount,,
アカデミックハラスメント,harassment, discrimination, bullying, etc. of staff and students at educational institutions,,
アカデミックパッケージ,academic package,,
アカデミー,academy,academia,
アカトビ,red kite,,
アカナマダ,crestfish,unicornfish,
アカニシ,veined rapa whelk,,
アカネ,madder,,
アカネキンチャクダイ,orangeface angelfish,,
アカネズミ,large Japanese field mouse,,
アカハタ,blacktip grouper,,
アカハラ,brown-headed thrush,Japanese dace,Japanese fire belly newt
アカハラ,harassment, discrimination, bullying, etc. of staff and students at educational institutions,,
アカハラキツネザル,red-bellied lemur,,
アカハラダカ,Chinese sparrowhawk,gray frog hawk,grey frog hawk
アカバナ,willowherb,safflower red,kimono color combination
アカパンカビ,Neurospora crassa,,
アカヒゲ,red beard,person with a red beard,Westerner
アカヒメジ,yellowfin goatfish,,
アカヒレ,white cloud mountain minnow,Canton danio,
アカビタイキツネザル,red-fronted lemur,red-fronted brown lemur,southern red-fronted brown lemur
アカビット,aquavit,akvavit,
アカプリッチオ,a capriccio,,
アカプルコグレゴリー,Acapulco major,Acapulco gregory,Acapulco damselfish
アカペラ,a cappella,unaccompanied choir or choral work,
アカホシイソハゼ,melasma pygmy goby,black-spotted pygmy-goby,
アカホシキツネベラ,lined hogfish,Bodianus rubrisos,
アカボウ,Bodianus cylindriatus,,
アカボウクジラ,beaked whale,Cuvier's beaked whale,
アカボウフラ,bloodworm,,
アカマシコ,scarlet rosefinch,common rosefinch,
アカマタ,Ryukyu odd-tooth snake,,
アカマタクロマタ,red-masked and black-masked gods,harvest festival celebrating these gods,
アカマチ,queen snapper,ruby snapper,flame snapper
アカマツ,Japanese red pine,Japanese umbrella pine,tanyosho pine
アカマツカサ,bigscale soldierfish,,
アカマングース,ruddy mongoose,,
アカマンボウ,opah,moonfish,
アカミタンポポ,smooth dandelion,,
アカミミダレミツスイ,red wattlebird,,
アカムシ,bloodworm,red mite,chigger mite
アカムツ,blackthroat seaperch,rosy seabass,
アカムパニ,accompany,,
アカムパニメント,accompaniment,,
アカムプリッシュ,accomplish,,
アカメイモ,type of taro originally from Sulawesi, has large tubers with red eyes,,
アカメガシワ,Japanese mallotus,mallotus bark,
アカメフグ,red-eyed puffer,,
アカモク,devil weed,,
アカモノ,Gaultheria adenothrix,,
アカモミタケ,Lactarius laeticolorus,,
アカヤガラ,red cornetfish,,
アカヤマアリ,Formica sanguinea,,
アカラシア,achalasia,,
アカルテケ,Akhal-Teke, a breed of horses originating in Turkmenistan,,
アカワラルー,antilopine kangaroo,antilopine wallaroo,antilopine wallaby
アカン,useless,no good,hopeless
アカントアメーバ,Acanthamoeba,,
アカントーデス,Acanthodes,,
アカンパニ,accompany,,
アカンパニメント,accompaniment,,
アカンプリッシュ,accomplish,,
アカンベー,facial gesture of pulling one's eyelid down and sticking out one's tongue,,
アガチス,agathis,kauri,dammar
アガナイズ,agonize,,
アガパンサス,agapanthus,lily-of-the-nile,
アガペー,agape,,
アガリクス,Agaricus subrufescens,,
アガリパイ,winning tile,,
アガロース,agarose,,
アキアカネ,var. of red dragonfly,,
アキカラマツ,Thalictrum minus var. hypoleucum,,
アキザクラ,common cosmos,,
アキシアルジェット,axial jet,,
アキシアルピストンポンプ,axial piston pump,,
アキシャル,axial,,
アキシャルオフセット,axial offset,,
アキタガイ,Japanese scallop,,
アキタブキ,Japanese butterbur,,
アキダクト,aqueduct,,
アキテクチャ,architecture,,
アキニレ,Chinese elm,,
アキヘラザメ,deep-water catshark,,
アキメネス,achimenes,,
アキャデミィ,academy,academia,
アキュセイション,accusation,,
アキュゼイション,accusation,,
アキュパイ,occupy,,
アキュペイション,occupation,,
アキュミュレイト,accumulate,,
アキュムレイト,accumulate,,
アキュムレータ,accumulator,,
アキュムレーター,accumulator,,
アキュラシ,accuracy,,
アキュラスィ,accuracy,,
アキュレイト,accurate,,
アキュレット,accurate,,
アキュームレータ,accumulator,,
アキレア,achillea,,
アキレス,Achilles,,
アキレスタン,Achilles tang,,
アキー,akee,ackee,
アギ,asafetida,,
アギォルギティコ,Agiorgitiko,,
アギヨルギティコ,Agiorgitiko,,
アク,lye,harsh taste,astringency
アクア,aqua,,
アクアオーラ,aqua aura,,
アクアカルチャー,aquaculture,aquiculture,
アクアチント,aquatint,,
アクアティック,aquatic,,
アクアティント,aquatint,,
アクアテック,aquatic,,
アクアトロン,aquatron,,
アクアノート,aquanaut,,
アクアパッツア,acqua pazza,,
アクアビット,aquavit,akvavit,
アクアプレーン,aquaplane,,
アクアポリス,aqua polis,city on water,
アクアポリン,aquaporin,,
アクアマリン,aquamarine,,
アクアマリーン,aquamarine,,
アクアミネラル,mineral water,,
アクアラング,aqualung,Self-Contained Underwater Breathing Apparatus,SCUBA
アクアリウム,aquarium,,
アクアロビクス,aquarobics,,
アクイエス,acquiesce,,
アクイジション,acquisition,,
アクイット,acquit,,
アクイロニウム,Aulonocara aquilonium,,
アクウィエス,acquiesce,,
アクウィジション,acquisition,,
アクウィダクト,aqueduct,,
アクウィット,acquit,,
アクウェアリアム,aquarium,,
アクウェインタンス,acquaintance,,
アクウェイント,acquaint,,
アクウェリアム,aquarium,,
アクウダクト,aqueduct,,
アクエインタンス,acquaintance,,
アクエイント,acquaint,,
アクサン,accent,stress,
アクサングラーブ,"grave" accent,,
アクサンシルコンフレックス,circumflex accent,,
アクサンスィルコンフレックス,circumflex accent,,
アクサンツルコンフレックス,circumflex accent,,
アクサンテギュ,acute accent,,
アクシオン,axion,,
アクシス,axis,,
アクシデンタル,accidental,,
アクシデント,accident,,
アクション,action,,
アクションアイテム,action item,,
アクションクエリ,action query,,
アクションゲーム,action game,,
アクションスター,action star,,
アクションタイプ,action type,,
アクションドラマ,action drama,,
アクションバー,action bar,,
アクションプラン,action plan,,
アクションプログラム,action program,action programme,
アクションペインティング,action painting,,
アクションリサーチ,action research,,
アクスィジェン,oxygen,,
アクスィデンタル,accidental,,
アクスル,axle,,
アクスルスタンド,axle stand,,
アクスルハウジング,axle housing,,
アクセ,accessory,,
アクセサ,accessor,,
アクセサリ,accessory,,
アクセサリー,accessory,,
アクセシビリティ,accessibility,a11y,
アクセシビリティー,accessibility,a11y,
アクセシブル,accessible,,
アクセス,access,,
アクセスアーム,access arm,,
アクセスカウンタ,access counter,Web counter,
アクセスカウンター,access counter,Web counter,
アクセスキー,access key,,
アクセスコンテキスト,access context,,
アクセスコントロール,access control,,
アクセスコントロールリスト,access control list,ACL,
アクセスコード,access code,,
アクセススイッチ,access switch,,
アクセススピード,access speed,,
アクセスタイム,access time,,
アクセスチャージ,access charge,,
アクセスパネル,access panel,,
アクセスブロック,access block,,
アクセスプロバイダ,access provider,,
アクセスポイント,access point,,
アクセスマスク,access mask,,
アクセスモード,access mode,,
アクセスランキング,ranking of web pages by number of times viewed,,
アクセスレベル,access level,,
アクセスログ,access log,,
アクセソワリスト,props assistant,seller of car accessories,
アクセッシング,accessing,,
アクセプタンス,acceptance,,
アクセプター,acceptor,,
アクセプト,accept,,
アクセラレータ,accelerator,,
アクセラレータカード,accelerator card,,
アクセラレーター,accelerator,,
アクセル,accelerator,accelerator pedal,gas pedal
アクセルジャンプ,Axel jump,,
アクセルセンサ,accelerator sensor,,
アクセルセンサー,accelerator sensor,,
アクセルパウルゼンジャンプ,Axel Paulsen jump,,
